age,gender,haoxin_yijiantong,mobile_network_registered,mobile_realname_verification,fraud_risk,identity_feature_score,contract_ability_score,default_risk_score,consumer_preference_score,behavior_feature_score,social_influence_score,growth_potential_score,institution_industry,hit_institutions_count,hit_banks_count,hit_consumer_finance_count,hit_microloan_count,institution_query_total,institution_query_3m,institution_query_6m,haoxin_risk_score,haoxin_litigation_score,overall_score
41.0,0,0,0,0,0.0,86.0,66.0,84.0,89.0,88.0,49.0,85.0,1.0,7.0,1.0,1.0,2.0,7.0,1.0,2.0,0.0,0.0,538.0
22.0,0,0,0,0,0.0,90.0,89.0,40.0,94.0,87.0,49.0,88.0,1.0,10.0,0.0,1.0,7.0,24.0,1.0,6.0,0.0,0.0,407.0
35.0,0,1,1,1,0.0,94.0,89.0,71.0,96.0,89.0,49.0,85.0,0.0,8.0,0.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,569.0
49.0,0,0,0,0,0.0,61.0,71.0,32.0,83.0,86.0,49.0,85.0,0.0,29.0,0.0,4.0,19.0,75.0,7.0,15.0,0.0,0.0,358.0
37.0,0,1,0,1,0.0,90.0,65.0,69.0,93.0,87.0,49.0,85.0,1.0,44.0,1.0,7.0,29.0,92.0,1.0,5.0,0.0,0.0,358.0
43.0,0,0,0,0,0.0,91.0,85.0,63.0,84.0,87.0,49.0,88.0,1.0,40.0,0.0,3.0,26.0,109.0,0.0,2.0,58.0,0.0,398.0
22.0,0,1,0,1,0.0,89.0,72.0,61.0,94.0,87.0,49.0,88.0,4.0,5.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,539.0
21.0,0,0,0,0,0.0,93.0,87.0,74.0,94.0,86.0,49.0,88.0,3.0,7.0,1.0,0.0,3.0,8.0,0.0,1.0,11.0,0.0,591.0
50.0,0,1,0,1,0.0,96.0,28.0,62.0,47.0,91.0,48.0,85.0,0.0,12.0,0.0,0.0,11.0,19.0,0.0,0.0,135.0,0.0,373.0
27.0,0,0,0,0,0.0,94.0,79.0,66.0,85.0,86.0,49.0,88.0,2.0,36.0,2.0,2.0,25.0,68.0,0.0,0.0,0.0,0.0,478.0
25.0,0,1,0,1,0.0,92.0,77.0,76.0,94.0,86.0,49.0,88.0,1.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,602.0
22.0,0,0,0,0,0.0,83.0,77.0,52.0,80.0,87.0,49.0,85.0,1.0,26.0,2.0,4.0,15.0,62.0,2.0,4.0,0.0,0.0,430.0
48.0,0,1,1,1,0.0,85.0,58.0,40.0,91.0,69.0,49.0,85.0,1.0,19.0,1.0,0.0,12.0,26.0,1.0,3.0,50.0,0.0,358.0
